Adam Food Centre
Amoy Street Food Centre
Bedok Food Centre
Beo Crescent Market
Berseh Food Centre
Bukit Timah Market
Chomp Chomp Food Centre
Commonwealth Crescent Market
Dunman Food Centre
East Coast Lagoon Food Village
Geylang Serai Market
Golden Mile Food Centre
Holland Village Market & Food Centre
Kallang Estate Market
Market Street Interim Food Centre
Marsiling Mall Hawker Centre
Maxwell Food Centre
Newton Newton Food Centre
North Bridge Road Market & Food Centre
Pasir Panjang Food Centre
Sembawang Hills Food Centre
Serangoon Garden Market
Taman Jurong Market & Food Centre
Tanglin Halt Market
Tiong Bahru Market
Zion Riverside Food Centre
ABC Brickworks Market & Food Centre
Albert Centre Market & Food Centre
Alexandra Village Food Centre
Blk 117 Aljunied Ave 2
Blk 226D Ang Mo Kio Ave 1
Blk 341 Ang Mo Kio Ave 1
Blk 160 Ang Mo Kio Ave 4
Blk 628 Ang Mo Kio Ave 4
Blk 724 Ang Mo Kio Ave 6
Blk 409 Ang Mo Kio Ave 10
Blk 453A Ang Mo Kio Ave 10
Blk 527 Ang Mo Kio Ave 10
Blk 226H Ang Mo Kio Street 22
Blk 216 Bedok North Street 1
Blk 511 Bedok North Street 3
Blk 538 Bedok North Street 3
Blk 85 Bedok North Street 4
Blk 630 Bedok Reservoir Road
Blk 16 Bedok South Road 
Blk 29 Bendemeer Road
Blk 221A Boon Lay Place
Blk 163 Bukit Merah Central
Blk 115 Bukit Merah View
Blk 2 Changi Village Road
Market Street Interim Hawker Centre
Chong Pang Market & Food Centre #
Blks 79 Circuit Road
Blk 80 Circuit Road
Blk 89 Circuit Road
Blk 353 Clementi Ave 2
Blk 448 Clementi Ave 3
Blk 726 Clementi West Street 2
Blks 2A Commonwealth Drive
Blk 7 Empress Road
Blk 4A Eunos Crescent
Blk 69 Geylang Bahru
Blk 20 Ghim Moh Road
Blk 13 Haig Road
Blk 22A Havelock Road
Blk 44 Holland Drive Singapore
Hong Lim Market & Food Centre
Blk 105 Hougang Ave 1
Blk 4A Jalan Batu
Blk 112 Jalan Bukit Merah
Blk 1 Jalan Kukoh
Blk 347 Jurong East Ave 1
Blk 254 Jurong East Street 24
Blk 505 Jurong West Street 52
Kovan Market & Food Centre
84 Marine Parade Central Market and Food Centre
Blk 50A Marine Terrace
Blks 20/21 Marsiling Lane
Blk 159 Mei Chin Road
Blk 58 New Upper Changi Road
Blk 208B New Upper Changi Road 
Blk 51 Old Airport Road 
Pek Kio Market & Food Centre
People's Park Food Centre
Blk 79 Redhill Lane
Blk 85 Redhill Lane
Blk 320 Shunfu Road
Blk 49 Sims Place
Blk 137 Tampines Street 11
Blk 6 Tanjong Pagar Plaza
Blk 37A Teban Gardens Road
Tekka Market
Blk 11 Telok Blangah Crescent
Blk 79 Telok Blangah Drive
Blk 82 Telok Blangah Drive
Blk 36 Telok Blangah Rise
Blk 127 Toa Payoh Lorong 1
Blk 74 Toa Payoh Lorong 4 
Blk 93 Toa Payoh Lorong 4
Blk 75 Toa Payoh Lorong 5
Blk 22 Toa Payoh Lorong 7
Blk 210 Toa Payoh Lorong 8 
Blk 17 Upper Boon Keng Road
Blk 502 West Coast Drive
Blk 503 West Coast Drive
Blk 90 Whampoa Drive 
Blk 91 Whampoa Drive 
